classNumber,classTitle,salaryRange,itPos,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 1 COLA4,Step 2 COLA4,Step 3 COLA4,Step 4 COLA4,Step 5 COLA4,Step 6 COLA4,Step 7 COLA4,Step 8 COLA4,Step 9 COLA4,Step 10 COLA4
4248***,Electrical/Control System Technician,30,,"$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$6,587 ","$6,913 ","$7,247 ","$7,601 ","$7,968 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 ","$7,628 ","$8,006 ","$8,392 ","$8,802 ","$9,227 "
4213***,Electrician,28,,"$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$6,587 ","$6,913 ","$7,247 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 ","$7,628 ","$8,006 ","$8,392 "
4335,Electronic Technician 1,14B,,$0 ,$0 ,$0 ,$0 ,"$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ",$0 ,$0 ,$0 ,$0 ,"$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 "
4336,Electronic Technician 2,17B,,$0 ,$0 ,$0 ,$0 ,"$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ",$0 ,$0 ,$0 ,$0 ,"$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 "
4475,Elevator Mechanic,33,,"$5,992 ","$6,286 ","$6,587 ","$6,913 ","$7,247 ","$7,601 ","$7,968 ","$8,365 ","$8,765 ","$9,185 ","$6,939 ","$7,280 ","$7,628 ","$8,006 ","$8,392 ","$8,802 ","$9,227 ","$9,687 ","$10,150 ","$10,637 "
3901,Environmental Health & Safety Professional 1,19,,"$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 "
3902,Environmental Health & Safety Professional 2,24,,"$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 "
3903,Environmental Health & Safety Professional 3,27,,"$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$6,587 ","$6,913 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 ","$7,628 ","$8,006 "
4420,Equipment Operator 1,13B,,$0 ,$0 ,$0 ,$0 ,"$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ",$0 ,$0 ,$0 ,$0 ,"$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 "
4421,Equipment Operator 2,17B,,$0 ,$0 ,$0 ,$0 ,"$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ",$0 ,$0 ,$0 ,$0 ,"$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 "
1461*,Equipment Systems Specialist,26I,Yes,,,,,,,,,,,,,,,,,,,,
118,Executive Support Specialist 1,18,,"$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 "
119,Executive Support Specialist 2,20,,"$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 "
3251,Facilities Engineer 1,27,,"$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$6,587 ","$6,913 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 ","$7,628 ","$8,006 "
3252,Facilities Engineer 2,30,,"$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$6,587 ","$6,913 ","$7,247 ","$7,601 ","$7,968 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 ","$7,628 ","$8,006 ","$8,392 ","$8,802 ","$9,227 "
3253,Facilities Engineer 3,32,,"$5,709 ","$5,992 ","$6,286 ","$6,587 ","$6,913 ","$7,247 ","$7,601 ","$7,968 ","$8,365 ","$8,765 ","$6,611 ","$6,939 ","$7,280 ","$7,628 ","$8,006 ","$8,392 ","$8,802 ","$9,227 ","$9,687 ","$10,150 "
5641,Fiscal Auditor 1,23,,"$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 "
5642,Fiscal Auditor 2,26,,"$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$6,587 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 ","$7,628 "
1205,Fiscal Coordinator 1,25,,"$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 "
1207,Fiscal Coordinator 2,29,,"$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$6,587 ","$6,913 ","$7,247 ","$7,601 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 ","$7,628 ","$8,006 ","$8,392 ","$8,802 "
9103,Food Service Coordinator,18,,"$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 "
9100,Food Service Worker 1,8,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 "
9101,Food Service Worker 2,10,,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 "
9102,Food Service Worker 3,13,,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ",$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 "
4409,General Maintenance Mechanic,18B,,$0 ,$0 ,$0 ,$0 ,"$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ",$0 ,$0 ,$0 ,$0 ,"$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 "
430,Grants/Contracts Coordinator,24,,"$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 "
202,Grants/Contracts Technician,19,,"$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 "
2511,Graphic Designer,21,,"$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 "
2512,Senior Graphic Designer,24,,"$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 "
4109,Grounds Maintenance Worker 1,14,,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ",$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 "
4110,Grounds Maintenance Worker 2,18,,"$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 "
6840,Histotechnologist,19,,"$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 "
8145,Horticulturist,23,,"$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 "
4112***,HVAC Control Technician,25,,"$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 "
1462*,Information Technology Consultant,28I,Yes,,,,,,,,,,,,,,,,,,,,
3170,Instrument Technician 1-Electr,17,,"$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 "
3160,Instrument Technician 1-Mech,17,,"$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 "
3171,Instrument Technician 2-Electr,19,,"$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 "
3161,Instrument Technician 2-Mech,19,,"$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 "
3172,Instrument Technician 3-Electr,21,,"$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 "
3162,Instrument Technician 3-Mech,21,,"$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 "
3173,Instrument Technologist-Electr,23B,,$0 ,$0 ,$0 ,$0 ,"$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ",$0 ,$0 ,$0 ,$0 ,"$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 "
3163,Instrument Technologist-Mech,23B,,$0 ,$0 ,$0 ,$0 ,"$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ",$0 ,$0 ,$0 ,$0 ,"$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 "
709,Inventory Control Specialist,16,,"$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 "
714,Issuing Agent,10,,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 "
6805,Laboratory Aide,10,,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ",$0 ,$0 ,$0 ,$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 "
6880,Laboratory Animal Technician 1,11,,$0 ,$0 ,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ",$0 ,$0 ,$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 "
6881,Laboratory Animal Technician 2,14,,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ",$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 "
6807,Laboratory Assistant,12,,$0 ,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ",$0 ,$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 "
6810,Laboratory Technician 1,15,,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 "
6811,Laboratory Technician 2,19,,"$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 "
4115,Laborer 1,11,,$0 ,$0 ,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ",$0 ,$0 ,$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 "
4116,Laborer 2,14,,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ",$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 "
9210,Laundry Worker,8,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 "
300,Library Technician 1,13,,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ",$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 "
301,Library Technician 2,16,,"$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 "
302,Library Technician 3,19,,"$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 "
6502,Licensed Physical Therapy Assistant,17,,"$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 "
6135,Licensed Practical Nurse,18,,"$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 "
4231,Limited Energy Electrician,16,,"$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 "
4227***,Locksmith,22,,"$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 "
4215,Machinist,19B,,$0 ,$0 ,$0 ,$0 ,"$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ",$0 ,$0 ,$0 ,$0 ,"$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 "
405,Mail Services Assistant,9,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 "
4204,Maintenance Electrician,17T,,$0 ,$0 ,$0 ,$0 ,"$3,524 ","$3,695 ","$3,866 ","$4,059 ","$4,263 ","$4,470 ",$0 ,$0 ,$0 ,$0 ,"$4,081 ","$4,279 ","$4,477 ","$4,701 ","$4,937 ","$5,176 "
4118,Maintenance Laborer Coordinator,17,,"$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 "
1180,Management Analyst 1,19,,"$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 "
1181,Management Analyst 2,23,,"$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 "
1182,Management Analyst 3,26,,"$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$6,587 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 ","$7,628 "
6107,Medical Aide,16,,"$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 "
