classNumber,classTitle,salaryRange,itPos,Step 1,Step 2,Step 3,Step 4,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 1 COLA4,Step 2 COLA4,Step 3 COLA4,Step 4 COLA4,Step 5 COLA4,Step 6 COLA4,Step 7 COLA4,Step 8 COLA4,Step 9 COLA4,Step 10 COLA4
6820,Medical Laboratory Tech 1,15,,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 "
6821,Medical Laboratory Tech 2,18,,"$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 "
6823,Medical Lab Technologist,23,,"$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 "
15,Medical Records Specialist,16,,"$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 "
11,Medical Transcriptionist,15,,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 "
3779,Microbiologist 1,23,,"$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 "
3780,Microbiologist 2,25,,"$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 "
3781,Microbiologist 3,27,,"$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$6,587 ","$6,913 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 ","$7,628 ","$8,006 "
6258,Mid-Level Medical Practitioner,36,,"$6,913 ","$7,247 ","$7,601 ","$7,968 ","$8,365 ","$8,765 ","$9,185 ","$9,624 ","$10,081 ","$10,560 ","$8,006 ","$8,392 ","$8,802 ","$9,227 ","$9,687 ","$10,150 ","$10,637 ","$11,145 ","$11,674 ","$12,229 "
2121,Museum Assistant,12,,$0 ,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ",$0 ,$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 "
4295,Museum Technician,14,,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ",$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 "
6435,Necropsy Assistant,16,,"$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 "
2430,Newspaper N/Shift Prod Coordinator,17,,"$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 "
3750,Nuclear Reactor Operator,18,,"$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 "
6640,Nutrition Education Assistant,11,,$0 ,$0 ,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ",$0 ,$0 ,$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 "
6642,Nutrition Education Coordinator,13,,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ",$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 "
102,Office Assistant,11,,$0 ,$0 ,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ",$0 ,$0 ,$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 "
103,Office Specialist 1,13,,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ",$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 "
104,Office Specialist 2,16,,"$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 "
2447,Offset Press Operator 1,12,,$0 ,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ",$0 ,$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 "
2448,Offset Press Operator 2,13,,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ",$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 "
2449,Offset Press Operator 3,15,,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 "
1463*,Operating Systems/Network Analyst,32I,Yes,,,,,,,,,,,,,,,,,,,,
1460*,Operations Specialist,21I,Yes,,,,,,,,,,,,,,,,,,,,
4510,Ordinary Mariner,14,,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ",$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 "
4209,Painter,18B,,$0 ,$0 ,$0 ,$0 ,"$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ",$0 ,$0 ,$0 ,$0 ,"$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 "
1523,Paralegal 1,19,,"$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 "
1524,Paralegal 2,23,,"$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 "
1525,Paralegal 3,26,,"$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$6,587 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 ","$7,628 "
5550,Parking Services Representative,15,,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 "
204,Payroll Assistant,13,,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ",$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 "
205,Payroll Technician,16,,"$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 "
6260,Pharmacist,35,,"$6,587 ","$6,913 ","$7,247 ","$7,601 ","$7,968 ","$8,365 ","$8,765 ","$9,185 ","$9,624 ","$10,081 ","$7,628 ","$8,006 ","$8,392 ","$8,802 ","$9,227 ","$9,687 ","$10,150 ","$10,637 ","$11,145 ","$11,674 "
6270,Pharmacy Technician 1,15,,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 "
6271,Pharmacy Technician 2,17,,"$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 "
2460,Photocomposition Specialist,15,,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 "
2546,Photographer 1,13B,,$0 ,$0 ,$0 ,$0 ,"$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ",$0 ,$0 ,$0 ,$0 ,"$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 "
2547,Photographer 2,15B,,$0 ,$0 ,$0 ,$0 ,"$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ",$0 ,$0 ,$0 ,$0 ,"$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 "
6503,Physical Therapist,31,,"$5,442 ","$5,709 ","$5,992 ","$6,286 ","$6,587 ","$6,913 ","$7,247 ","$7,601 ","$7,968 ","$8,365 ","$6,302 ","$6,611 ","$6,939 ","$7,280 ","$7,628 ","$8,006 ","$8,392 ","$8,802 ","$9,227 ","$9,687 "
4245,Pipe & Steam Fitter,23B,,$0 ,$0 ,$0 ,$0 ,"$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ",$0 ,$0 ,$0 ,$0 ,"$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 "
4221,Plasterer,19B,,$0 ,$0 ,$0 ,$0 ,"$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ",$0 ,$0 ,$0 ,$0 ,"$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 "
4211***,Plumber,27,,"$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$6,587 ","$6,913 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 ","$7,628 ","$8,006 "
3142,Preventative Maintenance Planner,18,,"$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 "
2477,Print Services Technician,16,,"$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 "
816,Program Representative 1,22,,"$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 "
817,Program Representative 2,26,,"$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$6,587 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 ","$7,628 "
812,Program Technician 1,23,,"$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 "
813,Program Technician 2,27,,"$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$6,587 ","$6,913 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 ","$7,628 ","$8,006 "
810,Project Coordinator,26,,"$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$6,587 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 ","$7,628 "
705,Property Specialist 1,12,,$0 ,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ",$0 ,$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 "
706,Property Specialist 2,14,,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ",$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 "
707,Property Specialist 3,16,,"$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 "
4100,PSU Recycling Specialist,7,,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$2,702 ","$2,807 ",$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,$0 ,"$3,129 ","$3,251 "
6298,Psychometrician,16,,"$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 "
2110,Public Information Assistant,17,,"$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 "
2111,Public Information Representative 1,21,,"$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 "
2112,Public Information Representative 2,25,,"$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 "
2147,Publications Editor,21,,"$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 "
796,Purchasing Agent 1,18,,"$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 "
797,Purchasing Agent 2,23,,"$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 "
767,Purchasing Analyst 1,21,,"$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 "
768,Purchasing Analyst 2,24,,"$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 "
769,Purchasing Analyst 3,26,,"$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$6,587 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 ","$7,628 "
795,Purchasing Assistant,13,,$0 ,$0 ,"$2,702 ","$2,807 ","$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ",$0 ,$0 ,"$3,129 ","$3,251 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 "
3450***,Radiation Protection Technologist 1,24,,"$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 "
3451***,Radiation Protection Technologist 2,27,,"$4,507 ","$4,733 ","$4,956 ","$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$6,587 ","$6,913 ","$5,219 ","$5,481 ","$5,739 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 ","$7,628 ","$8,006 "
3452***,Radiation Protection Technologist 3,30,,"$5,193 ","$5,442 ","$5,709 ","$5,992 ","$6,286 ","$6,587 ","$6,913 ","$7,247 ","$7,601 ","$7,968 ","$6,014 ","$6,302 ","$6,611 ","$6,939 ","$7,280 ","$7,628 ","$8,006 ","$8,392 ","$8,802 ","$9,227 "
2182,Radio/TV Communications Tech,17,,"$2,897 ","$3,022 ","$3,140 ","$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$3,355 ","$3,500 ","$3,636 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 "
6347,Radiologic Technologist 1,20,,"$3,279 ","$3,418 ","$3,574 ","$3,741 ","$3,921 ","$4,107 ","$4,303 ","$4,507 ","$4,733 ","$4,956 ","$3,797 ","$3,958 ","$4,139 ","$4,332 ","$4,541 ","$4,756 ","$4,983 ","$5,219 ","$5,481 ","$5,739 "
